start_date_new,nhood,num_parking_meters,wday
2019-11-06,Bayview Hunters Point,128,4
2019-11-06,Bernal Heights,1129,4
2019-11-06,Castro/Upper Market,1729,4
2019-11-06,Chinatown,2354,4
2019-11-06,Excelsior,964,4
2019-11-06,Financial District/South Beach,8479,4
2019-11-06,Glen Park,357,4
2019-11-06,Golden Gate Park,20,4
2019-11-06,Haight Ashbury,1054,4
2019-11-06,Hayes Valley,2313,4
2019-11-06,Inner Richmond,4701,4
2019-11-06,Inner Sunset,1734,4
2019-11-06,Japantown,1690,4
2019-11-06,Lakeshore,180,4
2019-11-06,Lone Mountain/USF,389,4
2019-11-06,Marina,4215,4
2019-11-06,Mission,8356,4
2019-11-06,Mission Bay,3325,4
2019-11-06,Nob Hill,2227,4
2019-11-06,Noe Valley,1480,4
2019-11-06,North Beach,2904,4
2019-11-06,Oceanview/Merced/Ingleside,194,4
2019-11-06,Outer Mission,1014,4
2019-11-06,Outer Richmond,3243,4
2019-11-06,Pacific Heights,2140,4
2019-11-06,Portola,849,4
2019-11-06,Potrero Hill,571,4
2019-11-06,Presidio Heights,1895,4
2019-11-06,Russian Hill,2103,4
2019-11-06,South of Market,4617,4
2019-11-06,Sunset/Parkside,4321,4
2019-11-06,Tenderloin,2410,4
2019-11-06,Visitacion Valley,151,4
2019-11-06,West of Twin Peaks,4307,4
2019-11-06,Western Addition,2184,4
2019-11-06,NA,1306,4
2019-11-07,Bayview Hunters Point,126,5
2019-11-07,Bernal Heights,1151,5
2019-11-07,Castro/Upper Market,1688,5
2019-11-07,Chinatown,2226,5
2019-11-07,Excelsior,799,5
2019-11-07,Financial District/South Beach,8494,5
2019-11-07,Glen Park,361,5
2019-11-07,Golden Gate Park,28,5
2019-11-07,Haight Ashbury,1106,5
2019-11-07,Hayes Valley,2453,5
2019-11-07,Inner Richmond,4480,5
2019-11-07,Inner Sunset,1786,5
2019-11-07,Japantown,1723,5
2019-11-07,Lakeshore,165,5
2019-11-07,Lone Mountain/USF,431,5
2019-11-07,Marina,4132,5
2019-11-07,Mission,8428,5
2019-11-07,Mission Bay,3352,5
2019-11-07,Nob Hill,1995,5
2019-11-07,Noe Valley,1512,5
2019-11-07,North Beach,2815,5
2019-11-07,Oceanview/Merced/Ingleside,150,5
2019-11-07,Outer Mission,899,5
2019-11-07,Outer Richmond,3229,5
2019-11-07,Pacific Heights,2196,5
2019-11-07,Portola,773,5
2019-11-07,Potrero Hill,555,5
2019-11-07,Presidio Heights,1964,5
2019-11-07,Russian Hill,2081,5
2019-11-07,South of Market,4938,5
2019-11-07,Sunset/Parkside,4341,5
2019-11-07,Tenderloin,2256,5
2019-11-07,Visitacion Valley,144,5
2019-11-07,West of Twin Peaks,4218,5
2019-11-07,Western Addition,2101,5
2019-11-07,NA,1327,5
2019-11-08,Bayview Hunters Point,116,6
2019-11-08,Bernal Heights,1167,6
2019-11-08,Castro/Upper Market,1760,6
2019-11-08,Chinatown,2317,6
2019-11-08,Excelsior,953,6
2019-11-08,Financial District/South Beach,8627,6
2019-11-08,Glen Park,416,6
2019-11-08,Golden Gate Park,26,6
2019-11-08,Haight Ashbury,1220,6
2019-11-08,Hayes Valley,2773,6
2019-11-08,Inner Richmond,4753,6
2019-11-08,Inner Sunset,1893,6
2019-11-08,Japantown,1853,6
2019-11-08,Lakeshore,145,6
2019-11-08,Lone Mountain/USF,430,6
2019-11-08,Marina,4254,6
2019-11-08,Mission,8756,6
2019-11-08,Mission Bay,3469,6
2019-11-08,Nob Hill,2262,6
2019-11-08,Noe Valley,1516,6
2019-11-08,North Beach,3232,6
2019-11-08,Oceanview/Merced/Ingleside,235,6
2019-11-08,Outer Mission,1108,6
2019-11-08,Outer Richmond,3777,6
2019-11-08,Pacific Heights,2319,6
2019-11-08,Portola,829,6
2019-11-08,Potrero Hill,531,6
2019-11-08,Presidio Heights,2010,6
2019-11-08,Russian Hill,2209,6
2019-11-08,South of Market,4752,6
2019-11-08,Sunset/Parkside,4716,6
2019-11-08,Tenderloin,2417,6
2019-11-08,Visitacion Valley,170,6
2019-11-08,West of Twin Peaks,4344,6
2019-11-08,Western Addition,2186,6
2019-11-08,NA,1528,6
2019-11-09,Bayview Hunters Point,85,7
2019-11-09,Bernal Heights,1255,7
